title,link,description,published,source,guid
Apple Hit With Legal Bombshell Just Hours Before Earnings -- Here's What Wall Street's Missing,https://finance.yahoo.com/news/apple-hit-legal-bombshell-just-161612902.html?.tsrc=rss,"Tariffs slashed, iPhones stall, and now a federal judge wants prosecutors involved -- Apple's quarter is anything but ordinary.",2025-05-01 16:16:12,Yahoo! Finance: AAPL News,5accef25-4db7-3ab6-a8f0-4b1ec06885de
Apple Reshuffles Global Affairs and Music Divisions in Major Reorganization,https://finance.yahoo.com/news/apple-reshuffles-global-affairs-music-155724812.html?.tsrc=rss,Apple Music Gets New Co-Leads in Broad Services Shake-Up,2025-05-01 15:57:24,Yahoo! Finance: AAPL News,e00f6eee-207c-3bcf-873a-c11936a2ebb2
Explainer-What's next for Apple after US court's contempt order in Epic Games case?,https://uk.finance.yahoo.com/news/explainer-whats-next-apple-us-154710701.html?.tsrc=rss,"Apple faces a possible criminal contempt probe after a U.S. judge said it violated an order to open its lucrative App Store to more competition and misled the court.  Here is a look at how Apple got here and what comes next in the blockbuster lawsuit brought by ""Fortnite"" maker Epic Games.  U.S. District Judge Yvonne Gonzalez Rogers in Oakland on Wednesday ruled Apple was in “willful” violation of an injunction she issued in 2021 in an antitrust lawsuit filed by Epic Games.",2025-05-01 15:47:10,Yahoo! Finance: AAPL News,48eebdb8-f70f-3a62-995d-d3a6eb931c5d
CCME launches to take on anti-competitive smartphone platform duopoly,https://finance.yahoo.com/news/ccme-launches-anti-competitive-smartphone-150547379.html?.tsrc=rss,"Meta Platforms (META), Spotify (SPOT), Garmin (GRMN) and Match (MTCH) are among the companies launching the Coalition for a Competitive Mobile Experience, a lobbying coalition to take on Apple (AAPL) and Alphabet (GOOG) (GOOGL) as legislation to require age verification gains momentum amid rising public concern over minors’ online access to inappropriate material. The group will lobby federal and state policymakers to enact legislation cracking down on the smartphone companies’ business practice",2025-05-01 15:05:47,Yahoo! Finance: AAPL News,28d348f0-355d-3c5d-b350-f9601face4c5
"Update: Apple Must Pay Optis $502 Million in Patent Infringement Case, UK Court Rules",https://finance.yahoo.com/news/apple-must-pay-optis-502-145730965.html?.tsrc=rss,(Update with Apple's response to a request for comment in the third paragraph.) Apple (AAPL) was,2025-05-01 14:57:30,Yahoo! Finance: AAPL News,4a27c13b-02cf-3fe2-bb05-53a48de3bb87
Moffett: I Am Not a Bear on Apple,https://finance.yahoo.com/video/moffett-am-not-bear-apple-145655743.html?.tsrc=rss,"Craig Moffett, MoffettNathanson founder partner, says he's not a bear on Apple. He says Apple's valuation is out of line with its growth expectations. The iPhone maker and member of the ""Magnificent 7"" is due to report earnings after the bell Thursday. He's on ""Bloomberg Open Interest.""",2025-05-01 14:56:55,Yahoo! Finance: AAPL News,ba03a699-82f8-3362-94bc-784f4e59925a
Fortnite plans return to the US iOS App Store next week,https://techcrunch.com/2025/05/01/fortnite-plans-return-to-the-us-ios-app-store-next-week/?.tsrc=rss,"Epic Games' mega-popular Fortnite is returning to the US iOS App Store next week after a surprising ruling in a years-long legal battle with Apple. The dispute between Epic and Apple began in 2020, when Apple removed Epic Games from the iOS store. Because Apple takes 30% of all in-app purchases, Epic had introduced support for direct payments in Fortnite to bypass Apple's fee. The following year, Judge Yvonne Gonzalez Rogers ruled that Apple could not prevent developers like Epic from adding lin",2025-05-01 14:15:06,Yahoo! Finance: AAPL News,b960e458-2e36-3b15-97c9-52763be0414e
Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?,https://finance.yahoo.com/m/ce2ffe06-f882-3e0d-8b97-fa77d137e8bb/warren-buffett-stocks%3A-what%27s.html?.tsrc=rss,"You must keep up on Warren Buffett stocks: The Berkshire Hathaway chief sticks to a winning investing formula, but he does not sit still.",2025-05-01 14:08:15,Yahoo! Finance: AAPL News,ce2ffe06-f882-3e0d-8b97-fa77d137e8bb
Apple Stock Opens Lower,https://finance.yahoo.com/m/0816a4a7-6af4-3bcc-b174-80824be963f5/apple-stock-opens-lower.html?.tsrc=rss,"Apple stock was down in early trading Thursday as Wall Street awaited the iPhone maker’s second-quarter earnings report. Shares were off 0.6% to $211.32 just after the stock market opened. The stock has now dropped 16% this year, compared to the 4.",2025-05-01 13:55:55,Yahoo! Finance: AAPL News,0816a4a7-6af4-3bcc-b174-80824be963f5
Apple Inc. (AAPL): Jim Cramer Braces for Earnings — “We Think They’re Going to Miss”,https://finance.yahoo.com/news/apple-inc-aapl-jim-cramer-135141381.html?.tsrc=rss,"We recently published a list of Jim Cramer Says AI Data Centers Have Potential & Discusses These 9 Stocks. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other stocks that Jim Cramer discusses. In a recent appearance on CNBC’s Squawk on the Street, Jim Cramer commented […]",2025-05-01 13:51:41,Yahoo! Finance: AAPL News,38858714-06a8-3558-a2d5-6a23b0efff30
"These Stocks Are Moving the Most Today: Microsoft, Meta, Tesla, Apple, CVS, Lilly, McDonald’s, Moderna, Kohl’s, and More",https://finance.yahoo.com/m/c3f2649b-8568-38ad-afeb-f5757ba64558/these-stocks-are-moving-the.html?.tsrc=rss,"Quarterly revenue at Microsoft’s cloud-computing business jumps 21%, and Meta Platforms boosts its capital spending plans largely on AI investments. Meanwhile, a federal judge finds Apple violated an antitrust ruling. The iPhone maker is scheduled to report quarterly earnings later Thursday.",2025-05-01 13:46:00,Yahoo! Finance: AAPL News,c3f2649b-8568-38ad-afeb-f5757ba64558
Stocks shrug off recession alarms as Big Tech earnings blow off the roof,https://finance.yahoo.com/news/stock-shrug-off-recession-alarms-122300844.html?.tsrc=rss,"U.S. markets rose Thursday morning, lifted by blockbuster earnings from Microsoft (MSFT) and Meta (META) that seemed strong enough to overshadow Wednesday’s unexpected GDP contraction. With Big Tech’s collective market cap nearing $10 trillion, investor sentiment looked ready to ride the rally — if Amazon (AMZN) and Apple (AAPL) can stick the landing after Thursday’s close.",2025-05-01 13:43:00,Yahoo! Finance: AAPL News,daac5d3c-ff53-373d-bd01-052ec3607b37
How To Earn $500 A Month From Apple Stock Ahead Of Q2 Earnings,https://finance.yahoo.com/news/earn-500-month-apple-stock-133325672.html?.tsrc=rss,"Apple Inc. (NASDAQ:AAPL) will release earnings results for the second quarter after the closing bell on Thursday, May 1. Analysts expect the iPhone maker to report quarterly earnings at $1.63 per share, up from $1.53 per share in the year-ago period. Apple projects to report quarterly revenue at $94.53 billion, compared to $90.75 billion a year earlier, according to data from Benzinga Pro. The company has beaten analyst estimates for revenue in eight straight quarters and nine of the last 10 qua",2025-05-01 13:33:25,Yahoo! Finance: AAPL News,3ea7aeb4-3ecc-30c4-a5c5-fb2bf3b696cb
"Big Tech earnings, Amazon & Apple, Tesla denies search: 3 Things",https://finance.yahoo.com/video/big-tech-earnings-amazon-apple-131142701.html?.tsrc=rss,"Meta Platforms (META) and Microsoft (MSFT) released their latest quarterly earnings after the market close on Wednesday, both topping Wall Street expectations. Read up on Yahoo Finance tech editor Dan Howley's coverage of both. Amazon (AMZN) and Apple (AAPL) are next on deck from the Magnificent Seven to report earnings results after the closing bell today. Tesla (TSLA) chair Robyn Denholm has denied reports that the electric vehicle manufacturer has initiated a search for a new CEO to replace Elon Musk. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.",2025-05-01 13:11:42,Yahoo! Finance: AAPL News,ddc761ef-4895-3674-b3d2-8fe1cf60031d
The most bought US stocks in Trump's first 100 days,https://uk.finance.yahoo.com/news/most-bought-us-stocks-trump-100-days-130710206.html?.tsrc=rss,"US president Donald Trump's first 100 days in office have been marked by big swings in markets, as investors have tracked a fast-moving policy agenda.",2025-05-01 13:07:10,Yahoo! Finance: AAPL News,8d843f79-0300-493d-a15a-5f66d310ce27
Apple Stock Falls Ahead of Earnings,https://finance.yahoo.com/m/41f1d43e-14fe-3c02-8e48-8134847a8449/apple-stock-falls-ahead-of.html?.tsrc=rss,"Apple stock was dropping early on Thursday as the market braces for its earnings report after the market close and digests a potential criminal contempt charge for the iPhone maker.  Apple shares were down 1.4% in premarket trading.  The drop comes after a U.S. District Judge rebuked Apple, saying it ignored an injunction tied to the company’s U.S. App Store, and referred the case to the U.S. Attorney for the Northern District of California for possible criminal contempt charges.",2025-05-01 12:45:00,Yahoo! Finance: AAPL News,41f1d43e-14fe-3c02-8e48-8134847a8449
Nasdaq Plan Will Bring Zero-Day Option Boom Closer to Single Stocks,https://finance.yahoo.com/news/nasdaq-plan-bring-zero-day-123420338.html?.tsrc=rss,"(Bloomberg) -- Nasdaq Inc. wants to increase the number of days that options on megacaps like Nvidia Corp. and Tesla Inc. can expire, in what could be a key step toward expanding Wall Street’s zero-day trading boom to single stocks.Most Read from BloombergNJ Transit Urges Commuters to Work Remotely If Union StrikesNYC Lost $9 Billion of Income to Miami, Palm Beach in Five YearsNew York City Transit System Chips Away at Subway Fare EvasionNYC’s Congestion Toll Raised $159 Million in the First Qua",2025-05-01 12:34:20,Yahoo! Finance: AAPL News,2bb12755-d989-3e02-991c-ff77a4398faf
5 Things to Know Before the Stock Market Opens,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-may-01-2025-11725525?.tsrc=rss,"News of the day for May 1, 2025",2025-05-01 12:01:38,Yahoo! Finance: AAPL News,41ab746e-1da1-3f0c-b510-7eeab2381b1f
Mag 7 Ride to Market’s Rescue But It Needs Much More and 5 Other Things to Know Today.,https://finance.yahoo.com/m/3b1049db-fecd-3d1e-9188-ccf3a70d58b3/mag-7-ride-to-market%E2%80%99s-rescue.html?.tsrc=rss,"Apple faces potential criminal contempt charge in U.S. antitrust case, economy contracts as businesses rush imports ahead of tariffs, and more news to start your day.",2025-05-01 10:42:00,Yahoo! Finance: AAPL News,3b1049db-fecd-3d1e-9188-ccf3a70d58b3
US judge finds Apple in violation of App Store reform order,https://www.verdict.co.uk/us-apple-violation-reform/?.tsrc=rss,"The ruling, issued by US District Judge Yvonne Gonzalez Rogers, will lead to a referral of Apple to federal prosecutors.",2025-05-01 10:26:20,Yahoo! Finance: AAPL News,7a74c9e9-16cb-3403-b92e-cdb24f0b5b89
